#Normalization-constant  6.46299e+02
#lambda         flux
1.0892434e+00  1.02013e+00
1.0892591e+00  1.01298e+00
1.0892746e+00  9.96437e-01
1.0892902e+00  1.01973e+00
1.0893057e+00  1.02744e+00
1.0893213e+00  1.00991e+00
1.0893368e+00  1.04001e+00
1.0893524e+00  1.02207e+00
1.0893679e+00  1.03109e+00
1.0893835e+00  1.03353e+00
1.0893991e+00  1.01565e+00
1.0894146e+00  1.02502e+00
1.0894302e+00  1.02315e+00
1.0894457e+00  9.96463e-01
1.0894614e+00  1.02270e+00
1.0894769e+00  1.01213e+00
1.0894925e+00  1.01941e+00
1.0895080e+00  1.02249e+00
1.0895236e+00  1.02971e+00
1.0895391e+00  9.99935e-01
1.0895547e+00  1.00344e+00
1.0895702e+00  1.00435e+00
1.0895858e+00  1.01380e+00
1.0896013e+00  9.86385e-01
1.0896169e+00  9.84782e-01
1.0896324e+00  9.92979e-01
1.0896480e+00  9.78883e-01
1.0896637e+00  1.00358e+00
1.0896792e+00  9.90638e-01
1.0896948e+00  9.97256e-01
1.0897103e+00  9.91835e-01
1.0897259e+00  9.79119e-01
1.0897414e+00  9.91411e-01
1.0897570e+00  9.86915e-01
1.0897725e+00  1.00431e+00
1.0897881e+00  1.00945e+00
1.0898036e+00  1.02795e+00
1.0898192e+00  1.01859e+00
1.0898347e+00  1.00525e+00
1.0898503e+00  1.00100e+00
1.0898658e+00  1.00133e+00
1.0898814e+00  1.01061e+00
1.0898969e+00  1.00619e+00
1.0899126e+00  1.03189e+00
1.0899281e+00  1.02191e+00
1.0899437e+00  1.01047e+00
1.0899593e+00  1.02882e+00
1.0899748e+00  1.01579e+00
1.0899904e+00  1.00520e+00
1.0900059e+00  1.01856e+00
1.0900215e+00  1.02027e+00
1.0900370e+00  1.00604e+00
1.0900526e+00  1.01006e+00
1.0900681e+00  1.02080e+00
1.0900837e+00  1.00956e+00
1.0900992e+00  1.01254e+00
1.0901149e+00  1.01959e+00
1.0901304e+00  1.01433e+00
1.0901460e+00  1.02717e+00
1.0901615e+00  1.03384e+00
1.0901771e+00  1.03426e+00
1.0901927e+00  1.04929e+00
1.0902083e+00  1.03926e+00
1.0902238e+00  1.03736e+00
1.0902394e+00  1.03066e+00
1.0902550e+00  1.00690e+00
1.0902705e+00  1.02630e+00
1.0902861e+00  1.04205e+00
1.0903016e+00  1.04203e+00
1.0903173e+00  1.04762e+00
1.0903328e+00  1.03055e+00
1.0903484e+00  1.02966e+00
1.0903639e+00  1.01884e+00
1.0903795e+00  1.02533e+00
1.0903950e+00  1.04991e+00
1.0904106e+00  1.05884e+00
1.0904261e+00  1.06658e+00
1.0904417e+00  1.05742e+00
1.0904572e+00  1.04497e+00
