#Normalization-constant  1.21649e+04
#lambda         flux
1.0875091e+00  9.85698e-01
1.0875247e+00  9.88626e-01
1.0875403e+00  1.00104e+00
1.0875558e+00  1.01296e+00
1.0875714e+00  1.01111e+00
1.0875870e+00  1.00325e+00
1.0876026e+00  1.00208e+00
1.0876181e+00  1.00451e+00
1.0876338e+00  1.00760e+00
1.0876494e+00  1.00963e+00
1.0876649e+00  1.00430e+00
1.0876805e+00  1.01108e+00
1.0876961e+00  1.01619e+00
1.0877116e+00  1.02004e+00
1.0877272e+00  1.02093e+00
1.0877428e+00  1.01464e+00
1.0877585e+00  1.01612e+00
1.0877740e+00  1.01276e+00
1.0877896e+00  1.01864e+00
1.0878052e+00  1.02338e+00
1.0878207e+00  1.01855e+00
1.0878363e+00  1.01388e+00
1.0878519e+00  1.01933e+00
1.0878674e+00  1.02124e+00
1.0878830e+00  1.03116e+00
1.0878986e+00  1.02993e+00
1.0879141e+00  1.02860e+00
1.0879298e+00  1.02540e+00
1.0879454e+00  1.03611e+00
1.0879610e+00  1.03552e+00
1.0879765e+00  1.02746e+00
1.0879921e+00  1.02355e+00
1.0880077e+00  1.02248e+00
1.0880232e+00  1.02648e+00
1.0880388e+00  1.02423e+00
1.0880545e+00  1.03062e+00
1.0880700e+00  1.02943e+00
1.0880856e+00  1.03456e+00
1.0881012e+00  1.03243e+00
1.0881167e+00  1.03520e+00
1.0881323e+00  1.03055e+00
1.0881479e+00  1.03112e+00
1.0881635e+00  1.02815e+00
1.0881790e+00  1.02796e+00
1.0881946e+00  1.02689e+00
1.0882103e+00  1.02224e+00
1.0882258e+00  1.00697e+00
1.0882414e+00  1.00397e+00
1.0882570e+00  1.00135e+00
1.0882725e+00  1.00656e+00
1.0882881e+00  1.00241e+00
1.0883037e+00  1.00667e+00
1.0883193e+00  9.99826e-01
1.0883348e+00  1.00461e+00
1.0883504e+00  1.01109e+00
1.0883661e+00  1.00344e+00
1.0883816e+00  1.01146e+00
1.0883972e+00  1.01655e+00
1.0884128e+00  1.00204e+00
1.0884283e+00  1.00110e+00
1.0884439e+00  9.95943e-01
1.0884595e+00  9.82092e-01
1.0884750e+00  9.81714e-01
1.0884906e+00  9.79569e-01
1.0885063e+00  9.74571e-01
1.0885219e+00  9.69241e-01
1.0885374e+00  9.74130e-01
1.0885530e+00  9.64537e-01
1.0885686e+00  9.59031e-01
1.0885841e+00  9.60481e-01
1.0885997e+00  9.63689e-01
1.0886153e+00  9.65301e-01
1.0886308e+00  9.58858e-01
1.0886464e+00  9.63762e-01
1.0886621e+00  9.73627e-01
1.0886776e+00  9.69065e-01
1.0886932e+00  9.75537e-01
1.0887088e+00  9.64717e-01
1.0887244e+00  9.63199e-01
1.0887399e+00  9.73370e-01
1.0887555e+00  9.73636e-01
1.0887711e+00  9.85164e-01
1.0887866e+00  9.83858e-01
1.0888023e+00  9.86574e-01
1.0888179e+00  9.93678e-01
1.0888334e+00  1.00001e+00
1.0888490e+00  9.97440e-01
1.0888646e+00  9.93781e-01
1.0888802e+00  9.97105e-01
1.0888957e+00  9.96111e-01
1.0889113e+00  9.84564e-01
1.0889269e+00  9.82081e-01
1.0889424e+00  9.79698e-01
1.0889581e+00  9.81166e-01
1.0889737e+00  9.93681e-01
1.0889892e+00  9.96295e-01
1.0890048e+00  9.99550e-01
1.0890204e+00  1.00831e+00
1.0890359e+00  1.01746e+00
1.0890515e+00  1.02215e+00
1.0890671e+00  1.02010e+00
1.0890828e+00  1.01365e+00
1.0890982e+00  1.01164e+00
1.0891139e+00  1.01131e+00
1.0891295e+00  1.00104e+00
1.0891450e+00  1.00267e+00
1.0891606e+00  1.01408e+00
1.0891762e+00  1.01012e+00
1.0891917e+00  1.01170e+00
1.0892073e+00  1.01999e+00
1.0892229e+00  1.01493e+00
1.0892386e+00  1.01927e+00
1.0892541e+00  1.01055e+00
1.0892697e+00  1.01973e+00
1.0892853e+00  1.01807e+00
1.0893008e+00  1.02067e+00
1.0893164e+00  1.01898e+00
1.0893320e+00  1.02560e+00
1.0893475e+00  1.02126e+00
1.0893631e+00  1.01357e+00
1.0893787e+00  1.01872e+00
1.0893942e+00  1.01855e+00
1.0894099e+00  1.02506e+00
1.0894255e+00  1.01895e+00
1.0894411e+00  1.02090e+00
1.0894566e+00  1.01784e+00
1.0894722e+00  1.01385e+00
1.0894878e+00  1.01080e+00
1.0895033e+00  1.01605e+00
1.0895189e+00  1.00059e+00
1.0895346e+00  1.00908e+00
1.0895501e+00  1.01037e+00
1.0895657e+00  9.95574e-01
1.0895813e+00  9.94315e-01
1.0895968e+00  9.90009e-01
1.0896124e+00  9.89480e-01
1.0896280e+00  9.92004e-01
1.0896436e+00  9.88569e-01
1.0896591e+00  9.95273e-01
1.0896747e+00  9.95625e-01
1.0896904e+00  9.96366e-01
1.0897059e+00  9.97573e-01
1.0897215e+00  1.00000e+00
1.0897371e+00  1.00041e+00
1.0897526e+00  1.00005e+00
1.0897682e+00  9.92943e-01
1.0897838e+00  9.91275e-01
1.0897993e+00  9.98433e-01
1.0898149e+00  9.98427e-01
1.0898306e+00  9.98851e-01
1.0898462e+00  1.00278e+00
1.0898617e+00  1.00536e+00
1.0898773e+00  1.00401e+00
1.0898929e+00  1.00555e+00
1.0899084e+00  1.00724e+00
1.0899240e+00  1.01163e+00
1.0899396e+00  1.01185e+00
1.0899551e+00  1.01581e+00
1.0899707e+00  1.00839e+00
1.0899864e+00  9.89184e-01
1.0900020e+00  9.85629e-01
1.0900175e+00  9.84359e-01
1.0900331e+00  9.89342e-01
1.0900488e+00  9.88893e-01
1.0900643e+00  9.92256e-01
1.0900799e+00  9.95926e-01
1.0900955e+00  1.00288e+00
1.0901110e+00  1.01213e+00
1.0901266e+00  1.01327e+00
1.0901423e+00  1.02239e+00
1.0901578e+00  1.02303e+00
1.0901734e+00  1.02177e+00
1.0901890e+00  1.01984e+00
1.0902046e+00  1.01402e+00
1.0902201e+00  1.00657e+00
1.0902357e+00  1.00579e+00
1.0902513e+00  1.01174e+00
1.0902668e+00  1.01685e+00
1.0902825e+00  1.02692e+00
1.0902981e+00  1.03049e+00
1.0903136e+00  1.03534e+00
1.0903292e+00  1.04738e+00
1.0903448e+00  1.04659e+00
1.0903604e+00  1.04260e+00
1.0903759e+00  1.03872e+00
1.0903915e+00  1.02197e+00
1.0904071e+00  1.00717e+00
1.0904226e+00  1.02610e+00
1.0904383e+00  9.98873e-01
1.0904539e+00  9.90766e-01
1.0904694e+00  1.01632e+00
1.0904850e+00  1.02502e+00
1.0905006e+00  1.03739e+00
1.0905161e+00  1.04692e+00
1.0905317e+00  1.04563e+00
1.0905473e+00  1.05937e+00
1.0905630e+00  1.04992e+00
1.0905785e+00  1.03622e+00
1.0905941e+00  1.02720e+00
1.0906097e+00  1.01050e+00
1.0906252e+00  9.98862e-01
1.0906408e+00  9.95887e-01
1.0906564e+00  9.92215e-01
1.0906719e+00  9.90602e-01
1.0906875e+00  1.00257e+00
1.0907031e+00  1.00052e+00
1.0907186e+00  1.00368e+00
1.0907343e+00  1.01288e+00
1.0907499e+00  1.01157e+00
1.0907655e+00  1.02141e+00
1.0907810e+00  1.02273e+00
1.0907966e+00  1.02638e+00
1.0908122e+00  1.02677e+00
1.0908277e+00  1.02063e+00
1.0908433e+00  1.00657e+00
1.0908590e+00  9.94024e-01
1.0908744e+00  9.88778e-01
1.0908901e+00  9.98573e-01
1.0909057e+00  9.98737e-01
1.0909213e+00  9.99371e-01
1.0909368e+00  1.00286e+00
1.0909524e+00  1.01008e+00
1.0909680e+00  1.01388e+00
1.0909835e+00  1.01566e+00
1.0909991e+00  1.01733e+00
1.0910148e+00  1.01904e+00
1.0910303e+00  1.01790e+00
1.0910459e+00  1.02114e+00
1.0910615e+00  1.02356e+00
1.0910770e+00  1.02528e+00
1.0910926e+00  1.02037e+00
1.0911082e+00  1.02048e+00
1.0911238e+00  1.02369e+00
1.0911393e+00  1.02441e+00
1.0911549e+00  1.03091e+00
1.0911706e+00  1.04039e+00
1.0911861e+00  1.04568e+00
1.0912017e+00  1.04333e+00
1.0912173e+00  1.04192e+00
1.0912328e+00  1.04243e+00
1.0912484e+00  1.03319e+00
1.0912640e+00  1.02778e+00
1.0912795e+00  1.01766e+00
1.0912951e+00  1.01601e+00
1.0913108e+00  1.01238e+00
1.0913264e+00  1.00726e+00
1.0913419e+00  1.01314e+00
1.0913575e+00  1.01648e+00
1.0913731e+00  1.01699e+00
1.0913886e+00  1.01423e+00
1.0914042e+00  1.00136e+00
1.0914198e+00  9.93918e-01
1.0914353e+00  9.90330e-01
1.0914509e+00  9.80941e-01
1.0914666e+00  9.64778e-01
1.0914822e+00  9.51060e-01
1.0914977e+00  9.23335e-01
1.0915133e+00  9.02581e-01
1.0915289e+00  8.81528e-01
1.0915444e+00  8.63334e-01
1.0915600e+00  8.56779e-01
1.0915756e+00  8.20452e-01
1.0915911e+00  8.43309e-01
1.0916068e+00  8.53303e-01
1.0916224e+00  8.71282e-01
1.0916379e+00  8.62722e-01
1.0916535e+00  8.76390e-01
1.0916691e+00  8.72200e-01
1.0916847e+00  8.69237e-01
1.0917002e+00  8.62231e-01
1.0917158e+00  8.52499e-01
1.0917314e+00  8.55507e-01
1.0917469e+00  8.71260e-01
1.0917626e+00  8.89062e-01
1.0917782e+00  8.91782e-01
1.0917937e+00  9.01995e-01
1.0918093e+00  9.01241e-01
1.0918249e+00  9.06686e-01
1.0918404e+00  9.05941e-01
1.0918560e+00  9.02323e-01
1.0918716e+00  8.92923e-01
1.0918873e+00  8.87365e-01
1.0919027e+00  8.89605e-01
1.0919184e+00  8.96856e-01
1.0919340e+00  9.06607e-01
1.0919495e+00  9.11741e-01
1.0919651e+00  9.18988e-01
1.0919807e+00  9.29903e-01
1.0919962e+00  9.47281e-01
1.0920118e+00  9.67248e-01
1.0920274e+00  9.81934e-01
1.0920431e+00  9.94235e-01
1.0920586e+00  1.00791e+00
1.0920742e+00  1.01045e+00
1.0920898e+00  1.01030e+00
1.0921053e+00  1.00990e+00
1.0921209e+00  1.00725e+00
1.0921365e+00  1.00286e+00
1.0921520e+00  9.99566e-01
1.0921676e+00  1.00053e+00
1.0921832e+00  9.99495e-01
1.0921987e+00  1.00522e+00
1.0922144e+00  1.01421e+00
1.0922300e+00  1.01807e+00
1.0922456e+00  1.01163e+00
1.0922611e+00  1.02112e+00
1.0922767e+00  1.02507e+00
1.0922923e+00  1.01266e+00
1.0923078e+00  1.01991e+00
1.0923234e+00  1.01912e+00
1.0923391e+00  1.01634e+00
1.0923546e+00  1.01422e+00
1.0923702e+00  9.99339e-01
1.0923858e+00  9.94237e-01
1.0924013e+00  9.95448e-01
1.0924169e+00  1.00794e+00
1.0924325e+00  1.01570e+00
1.0924481e+00  1.00904e+00
1.0924636e+00  1.02278e+00
1.0924792e+00  1.01749e+00
1.0924949e+00  1.01630e+00
1.0925104e+00  1.01423e+00
1.0925260e+00  1.01664e+00
1.0925416e+00  1.00303e+00
1.0925571e+00  9.87578e-01
1.0925727e+00  9.73807e-01
1.0925883e+00  9.57231e-01
1.0926039e+00  9.37256e-01
1.0926194e+00  8.94545e-01
1.0926351e+00  8.61324e-01
1.0926507e+00  8.93351e-01
1.0926663e+00  9.36413e-01
1.0926819e+00  9.55276e-01
1.0926975e+00  9.61514e-01
1.0927130e+00  9.65202e-01
1.0927286e+00  9.64990e-01
1.0927442e+00  9.45901e-01
1.0927597e+00  9.21655e-01
1.0927753e+00  9.10148e-01
1.0927910e+00  9.01490e-01
1.0928066e+00  8.94063e-01
1.0928221e+00  9.02231e-01
1.0928377e+00  9.25021e-01
1.0928533e+00  9.28960e-01
1.0928688e+00  9.30806e-01
1.0928844e+00  9.25151e-01
1.0929000e+00  9.48053e-01
1.0929155e+00  9.47845e-01
1.0929311e+00  9.43257e-01
1.0929468e+00  9.53601e-01
1.0929623e+00  9.41922e-01
1.0929779e+00  9.37840e-01
1.0929935e+00  9.28491e-01
1.0930091e+00  9.16568e-01
1.0930246e+00  9.05701e-01
1.0930402e+00  9.07501e-01
1.0930558e+00  9.20591e-01
1.0930713e+00  9.16559e-01
1.0930870e+00  9.31909e-01
1.0931026e+00  9.51230e-01
1.0931181e+00  9.60864e-01
1.0931337e+00  9.73468e-01
1.0931493e+00  9.79513e-01
1.0931649e+00  9.71855e-01
1.0931804e+00  9.72115e-01
1.0931960e+00  9.56724e-01
1.0932116e+00  9.42618e-01
1.0932271e+00  9.32211e-01
1.0932428e+00  9.33163e-01
1.0932584e+00  9.31481e-01
1.0932739e+00  9.30435e-01
1.0932895e+00  9.42945e-01
