#Normalization-constant  3.85227e+03
#lambda         flux
1.0880943e+00  1.01665e+00
1.0881099e+00  1.01702e+00
1.0881254e+00  9.86864e-01
1.0881410e+00  9.95997e-01
1.0881566e+00  9.89785e-01
1.0881721e+00  9.94507e-01
1.0881877e+00  9.84303e-01
1.0882032e+00  1.00134e+00
1.0882188e+00  9.85033e-01
1.0882344e+00  9.78091e-01
1.0882499e+00  9.85238e-01
1.0882656e+00  9.82696e-01
1.0882811e+00  9.92102e-01
1.0882967e+00  9.86163e-01
1.0883123e+00  9.79814e-01
1.0883278e+00  9.84585e-01
1.0883434e+00  9.59522e-01
1.0883589e+00  9.57619e-01
1.0883745e+00  9.80515e-01
1.0883901e+00  9.75774e-01
1.0884056e+00  9.75647e-01
1.0884212e+00  9.69558e-01
1.0884367e+00  9.73326e-01
1.0884524e+00  9.70061e-01
1.0884680e+00  9.76348e-01
1.0884835e+00  9.80321e-01
1.0884991e+00  9.73661e-01
1.0885147e+00  9.75228e-01
1.0885302e+00  9.71025e-01
1.0885458e+00  9.67963e-01
1.0885613e+00  9.58608e-01
1.0885769e+00  9.64373e-01
1.0885925e+00  9.66959e-01
1.0886080e+00  9.59623e-01
1.0886237e+00  9.66296e-01
1.0886392e+00  9.57083e-01
1.0886548e+00  9.60475e-01
1.0886704e+00  9.65878e-01
1.0886859e+00  9.67826e-01
1.0887015e+00  9.67083e-01
1.0887170e+00  9.63837e-01
1.0887326e+00  9.62406e-01
1.0887482e+00  9.64364e-01
1.0887637e+00  9.74021e-01
1.0887793e+00  9.73233e-01
1.0887950e+00  9.69930e-01
1.0888105e+00  9.72458e-01
1.0888261e+00  9.69505e-01
1.0888416e+00  9.67502e-01
1.0888572e+00  9.58640e-01
1.0888728e+00  9.65317e-01
1.0888883e+00  9.61185e-01
1.0889039e+00  9.66786e-01
1.0889194e+00  9.65278e-01
1.0889350e+00  9.63765e-01
1.0889507e+00  9.73337e-01
1.0889661e+00  9.72811e-01
1.0889818e+00  9.70519e-01
1.0889973e+00  9.74313e-01
1.0890129e+00  9.75141e-01
1.0890285e+00  9.84050e-01
1.0890440e+00  9.79639e-01
1.0890596e+00  9.88587e-01
1.0890752e+00  9.87428e-01
1.0890907e+00  9.99745e-01
1.0891063e+00  1.01889e+00
1.0891218e+00  9.94312e-01
1.0891375e+00  1.00108e+00
1.0891531e+00  1.00143e+00
1.0891686e+00  1.00216e+00
1.0891842e+00  9.89200e-01
1.0891997e+00  9.79746e-01
1.0892153e+00  9.81937e-01
1.0892309e+00  9.86114e-01
1.0892464e+00  9.90525e-01
1.0892620e+00  9.92930e-01
1.0892775e+00  9.99200e-01
1.0892931e+00  1.00348e+00
1.0893088e+00  1.00206e+00
1.0893243e+00  1.00168e+00
1.0893399e+00  9.96026e-01
1.0893555e+00  9.89687e-01
1.0893710e+00  9.95734e-01
1.0893866e+00  9.92949e-01
1.0894021e+00  9.95831e-01
1.0894177e+00  9.97807e-01
1.0894333e+00  9.90349e-01
1.0894488e+00  9.93962e-01
1.0894644e+00  9.98752e-01
1.0894799e+00  9.92511e-01
1.0894956e+00  9.99268e-01
1.0895112e+00  9.88665e-01
1.0895267e+00  9.74907e-01
1.0895423e+00  9.70834e-01
1.0895578e+00  9.74518e-01
1.0895734e+00  9.73492e-01
1.0895890e+00  9.78948e-01
1.0896045e+00  9.75530e-01
1.0896201e+00  9.79035e-01
1.0896357e+00  9.76007e-01
1.0896512e+00  9.72635e-01
1.0896669e+00  9.69459e-01
1.0896824e+00  9.67737e-01
1.0896980e+00  9.66421e-01
1.0897136e+00  9.73487e-01
1.0897291e+00  9.70386e-01
1.0897447e+00  9.74683e-01
1.0897602e+00  9.73933e-01
1.0897758e+00  9.69677e-01
1.0897914e+00  9.77994e-01
1.0898069e+00  9.73943e-01
1.0898225e+00  9.80583e-01
1.0898380e+00  9.73340e-01
1.0898537e+00  9.54686e-01
1.0898693e+00  9.60156e-01
1.0898848e+00  9.71673e-01
1.0899004e+00  9.65549e-01
1.0899160e+00  9.72755e-01
1.0899315e+00  9.74148e-01
1.0899471e+00  9.70269e-01
1.0899626e+00  9.69197e-01
1.0899782e+00  9.74956e-01
1.0899939e+00  9.72616e-01
1.0900094e+00  9.78071e-01
1.0900250e+00  9.75404e-01
1.0900405e+00  9.83553e-01
1.0900561e+00  9.88441e-01
1.0900717e+00  9.79503e-01
1.0900872e+00  9.76592e-01
1.0901028e+00  9.83699e-01
1.0901183e+00  9.69599e-01
1.0901339e+00  9.87438e-01
1.0901495e+00  9.81450e-01
1.0901650e+00  9.75696e-01
1.0901807e+00  9.78500e-01
1.0901963e+00  9.86854e-01
1.0902118e+00  9.89502e-01
1.0902274e+00  9.95373e-01
1.0902429e+00  1.00152e+00
1.0902585e+00  9.95617e-01
1.0902741e+00  9.97145e-01
1.0902896e+00  1.00319e+00
1.0903052e+00  1.00141e+00
1.0903207e+00  1.00298e+00
1.0903363e+00  1.00034e+00
1.0903520e+00  1.00032e+00
1.0903675e+00  1.00497e+00
1.0903831e+00  1.00135e+00
1.0903986e+00  9.78918e-01
1.0904142e+00  9.86825e-01
1.0904298e+00  9.93037e-01
1.0904453e+00  1.00408e+00
1.0904609e+00  1.00899e+00
1.0904764e+00  1.00487e+00
1.0904920e+00  9.97661e-01
1.0905076e+00  9.98733e-01
1.0905230e+00  9.92238e-01
1.0905387e+00  9.92910e-01
1.0905543e+00  9.87156e-01
1.0905698e+00  9.78704e-01
1.0905854e+00  9.89307e-01
1.0906009e+00  9.92793e-01
1.0906165e+00  9.95179e-01
1.0906321e+00  9.95578e-01
1.0906476e+00  9.91411e-01
1.0906632e+00  9.88256e-01
1.0906787e+00  9.82073e-01
1.0906943e+00  9.89259e-01
1.0907100e+00  9.88811e-01
1.0907255e+00  9.94770e-01
1.0907411e+00  9.91654e-01
1.0907566e+00  9.94604e-01
1.0907722e+00  1.00481e+00
1.0907878e+00  9.99560e-01
1.0908033e+00  1.00385e+00
1.0908189e+00  9.89278e-01
