#Normalization-constant  1.09519e+02
#lambda         flux
1.1192435e+00  9.60084e-01
1.1192595e+00  9.66097e-01
1.1192755e+00  9.94892e-01
1.1192915e+00  1.00395e+00
1.1193076e+00  9.90311e-01
1.1193236e+00  9.66024e-01
1.1193397e+00  9.67477e-01
1.1193557e+00  9.73213e-01
1.1193716e+00  9.82702e-01
1.1193877e+00  9.90774e-01
1.1194037e+00  9.93982e-01
1.1194198e+00  9.75782e-01
1.1194358e+00  1.02317e+00
1.1194519e+00  1.01998e+00
1.1194678e+00  1.02446e+00
1.1194839e+00  1.00130e+00
1.1194999e+00  9.95106e-01
1.1195161e+00  9.86738e-01
1.1195321e+00  9.78018e-01
1.1195482e+00  9.91797e-01
1.1195641e+00  1.01804e+00
1.1195802e+00  1.00189e+00
1.1195962e+00  9.83717e-01
1.1196123e+00  1.02582e+00
1.1196283e+00  1.00861e+00
1.1196442e+00  9.88262e-01
1.1196603e+00  9.93526e-01
1.1196763e+00  9.74033e-01
1.1196924e+00  9.51846e-01
1.1197084e+00  9.84010e-01
1.1197245e+00  1.00267e+00
1.1197404e+00  9.91941e-01
1.1197565e+00  9.74202e-01
1.1197725e+00  9.48031e-01
1.1197886e+00  9.58804e-01
1.1198046e+00  1.00349e+00
1.1198207e+00  9.94112e-01
1.1198366e+00  9.67190e-01
1.1198527e+00  9.83644e-01
1.1198687e+00  9.94734e-01
1.1198848e+00  1.02556e+00
1.1199008e+00  1.02954e+00
1.1199168e+00  1.00333e+00
1.1199329e+00  1.00420e+00
1.1199488e+00  1.01169e+00
1.1199649e+00  1.03629e+00
1.1199809e+00  1.01645e+00
1.1199970e+00  9.69846e-01
1.1200130e+00  1.00524e+00
1.1200291e+00  1.03382e+00
1.1200450e+00  9.39821e-01
1.1200611e+00  1.02654e+00
1.1200771e+00  1.03117e+00
1.1200932e+00  1.02473e+00
1.1201092e+00  1.03085e+00
1.1201253e+00  1.02418e+00
1.1201412e+00  1.01288e+00
1.1201572e+00  1.01222e+00
1.1201733e+00  1.00012e+00
1.1201893e+00  9.79718e-01
1.1202054e+00  9.81666e-01
1.1202213e+00  9.85340e-01
1.1202374e+00  9.80062e-01
1.1202534e+00  9.34881e-01
1.1202695e+00  9.49433e-01
1.1202855e+00  1.00725e+00
1.1203016e+00  1.00638e+00
1.1203175e+00  9.79911e-01
1.1203336e+00  9.92627e-01
1.1203496e+00  9.79103e-01
1.1203657e+00  9.97815e-01
1.1203817e+00  1.01138e+00
1.1203978e+00  9.68119e-01
1.1204137e+00  9.92726e-01
1.1204297e+00  9.38036e-01
1.1204458e+00  8.91046e-01
1.1204618e+00  8.99427e-01
1.1204779e+00  8.60090e-01
1.1204938e+00  9.66043e-01
1.1205099e+00  9.78424e-01
1.1205259e+00  9.90125e-01
1.1205420e+00  9.83341e-01
1.1205580e+00  9.56840e-01
1.1205741e+00  9.66413e-01
1.1205901e+00  9.91802e-01
1.1206061e+00  1.02562e+00
1.1206221e+00  1.04428e+00
