#Normalization-constant  6.60334e+02
#lambda         flux
1.0747415e+00  9.92614e-01
1.0747569e+00  1.01963e+00
1.0747723e+00  1.02591e+00
1.0747877e+00  1.03581e+00
1.0748029e+00  1.03685e+00
1.0748183e+00  1.02741e+00
1.0748337e+00  1.00720e+00
1.0748491e+00  1.02534e+00
1.0748643e+00  1.00907e+00
1.0748797e+00  9.96461e-01
1.0748951e+00  9.96606e-01
1.0749104e+00  1.00695e+00
1.0749258e+00  9.84717e-01
1.0749411e+00  9.61888e-01
1.0749565e+00  9.57146e-01
1.0749718e+00  9.66752e-01
1.0749872e+00  9.69422e-01
1.0750025e+00  9.72293e-01
1.0750179e+00  9.57315e-01
1.0750332e+00  9.71879e-01
1.0750486e+00  9.51140e-01
1.0750639e+00  9.50444e-01
1.0750792e+00  9.43802e-01
1.0750946e+00  9.63155e-01
1.0751100e+00  1.00251e+00
1.0751253e+00  9.63344e-01
1.0751406e+00  9.70615e-01
1.0751560e+00  9.92568e-01
1.0751714e+00  1.00658e+00
1.0751868e+00  1.02233e+00
1.0752020e+00  9.86966e-01
1.0752174e+00  9.83528e-01
1.0752328e+00  9.79911e-01
1.0752482e+00  9.97109e-01
1.0752634e+00  9.65386e-01
1.0752788e+00  9.73346e-01
1.0752942e+00  9.66641e-01
1.0753096e+00  9.69678e-01
1.0753248e+00  9.62557e-01
1.0753402e+00  9.32722e-01
1.0753556e+00  9.40700e-01
1.0753710e+00  9.39549e-01
1.0753862e+00  9.40825e-01
1.0754016e+00  9.64394e-01
1.0754170e+00  9.62387e-01
1.0754323e+00  9.56205e-01
1.0754477e+00  9.53437e-01
1.0754630e+00  9.67602e-01
1.0754784e+00  9.97588e-01
1.0754937e+00  9.81596e-01
1.0755091e+00  9.92827e-01
1.0755244e+00  9.35320e-01
1.0755398e+00  1.00189e+00
1.0755551e+00  1.00283e+00
1.0755705e+00  1.01351e+00
1.0755858e+00  1.02049e+00
1.0756011e+00  1.02223e+00
1.0756165e+00  1.02889e+00
1.0756319e+00  1.00347e+00
1.0756472e+00  1.00813e+00
1.0756625e+00  9.98482e-01
1.0756779e+00  9.21241e-01
1.0756933e+00  9.92871e-01
1.0757087e+00  1.01145e+00
1.0757239e+00  1.01558e+00
1.0757393e+00  1.01131e+00
1.0757547e+00  1.00791e+00
1.0757701e+00  1.01136e+00
1.0757853e+00  1.00935e+00
1.0758007e+00  1.01676e+00
1.0758161e+00  1.02401e+00
1.0758315e+00  1.03532e+00
1.0758467e+00  1.01237e+00
1.0758621e+00  1.02525e+00
1.0758775e+00  1.01472e+00
1.0758929e+00  1.00464e+00
1.0759081e+00  1.01686e+00
1.0759235e+00  1.03606e+00
1.0759389e+00  1.01913e+00
1.0759542e+00  1.02746e+00
1.0759696e+00  1.02125e+00
1.0759849e+00  1.00464e+00
1.0760003e+00  1.02698e+00
1.0760156e+00  1.03070e+00
1.0760310e+00  1.02796e+00
1.0760463e+00  1.03365e+00
1.0760617e+00  1.00985e+00
1.0760770e+00  1.02895e+00
1.0760924e+00  1.04886e+00
1.0761077e+00  1.02635e+00
1.0761230e+00  1.05139e+00
1.0761384e+00  1.01234e+00
1.0761538e+00  1.01994e+00
1.0761692e+00  1.04428e+00
1.0761844e+00  1.00821e+00
1.0761998e+00  1.00867e+00
1.0762152e+00  1.01246e+00
1.0762306e+00  1.03173e+00
1.0762458e+00  1.03118e+00
1.0762612e+00  1.03047e+00
1.0762766e+00  1.03370e+00
1.0762920e+00  1.01467e+00
1.0763072e+00  1.01238e+00
1.0763226e+00  1.05272e+00
1.0763380e+00  1.04707e+00
1.0763534e+00  1.03566e+00
1.0763686e+00  1.01123e+00
1.0763840e+00  1.00681e+00
1.0763994e+00  1.03667e+00
1.0764147e+00  1.02242e+00
1.0764301e+00  1.03972e+00
1.0764454e+00  1.04031e+00
1.0764608e+00  1.01468e+00
