#Normalization-constant  7.65839e+02
#lambda         flux
1.0435489e+00  1.04459e+00
1.0435638e+00  9.54604e-01
1.0435787e+00  1.00884e+00
1.0435936e+00  1.01931e+00
1.0436087e+00  1.01058e+00
1.0436236e+00  1.03471e+00
1.0436385e+00  1.04190e+00
1.0436534e+00  1.00140e+00
1.0436683e+00  1.01466e+00
1.0436832e+00  1.01594e+00
1.0436981e+00  1.03869e+00
1.0437131e+00  1.04006e+00
1.0437280e+00  1.00267e+00
1.0437429e+00  1.01425e+00
1.0437578e+00  1.02983e+00
1.0437727e+00  1.00972e+00
1.0437876e+00  1.00871e+00
1.0438026e+00  9.95442e-01
1.0438175e+00  1.01605e+00
1.0438324e+00  1.00146e+00
1.0438473e+00  1.03825e+00
1.0438622e+00  1.04099e+00
1.0438771e+00  1.05582e+00
1.0438921e+00  1.02952e+00
1.0439070e+00  1.01596e+00
1.0439219e+00  1.02626e+00
1.0439368e+00  1.03438e+00
1.0439517e+00  1.04788e+00
1.0439666e+00  1.03831e+00
1.0439815e+00  1.02914e+00
1.0439966e+00  1.02448e+00
1.0440115e+00  1.02355e+00
1.0440264e+00  1.02120e+00
1.0440413e+00  1.04539e+00
1.0440562e+00  1.02253e+00
1.0440711e+00  1.04508e+00
1.0440861e+00  1.05463e+00
1.0441010e+00  1.05358e+00
1.0441159e+00  1.01745e+00
1.0441308e+00  1.01889e+00
1.0441457e+00  1.03591e+00
1.0441606e+00  1.03992e+00
1.0441756e+00  1.02763e+00
1.0441905e+00  1.03370e+00
1.0442054e+00  1.03023e+00
1.0442203e+00  9.36735e-01
1.0442352e+00  9.44835e-01
1.0442501e+00  1.02069e+00
1.0442650e+00  1.01459e+00
1.0442800e+00  1.04317e+00
1.0442949e+00  1.00684e+00
1.0443098e+00  1.04113e+00
1.0443247e+00  1.03618e+00
1.0443397e+00  1.00972e+00
1.0443546e+00  1.00786e+00
1.0443696e+00  1.02724e+00
1.0443845e+00  1.03902e+00
1.0443994e+00  9.98463e-01
1.0444143e+00  1.02615e+00
1.0444292e+00  1.04029e+00
1.0444441e+00  1.01811e+00
1.0444591e+00  1.03124e+00
1.0444740e+00  1.03797e+00
1.0444889e+00  1.04400e+00
1.0445038e+00  1.00676e+00
1.0445187e+00  1.00826e+00
1.0445336e+00  1.02659e+00
1.0445485e+00  1.01610e+00
1.0445635e+00  1.03333e+00
1.0445784e+00  1.01779e+00
1.0445933e+00  1.01992e+00
1.0446082e+00  1.02489e+00
1.0446231e+00  1.01998e+00
1.0446380e+00  1.04946e+00
1.0446531e+00  1.01249e+00
1.0446680e+00  1.00093e+00
1.0446829e+00  1.01637e+00
1.0446978e+00  1.03000e+00
1.0447127e+00  1.02261e+00
1.0447276e+00  1.03812e+00
1.0447426e+00  1.04303e+00
1.0447575e+00  1.05095e+00
1.0447724e+00  1.03363e+00
1.0447873e+00  1.02919e+00
1.0448022e+00  1.00106e+00
1.0448171e+00  1.02964e+00
1.0448320e+00  1.03228e+00
1.0448470e+00  1.01239e+00
1.0448619e+00  1.01274e+00
1.0448768e+00  1.05766e+00
1.0448917e+00  1.02357e+00
1.0449066e+00  1.03863e+00
1.0449215e+00  1.01236e+00
1.0449365e+00  1.00641e+00
1.0449514e+00  9.99442e-01
1.0449663e+00  1.03234e+00
1.0449812e+00  1.05194e+00
1.0449961e+00  1.03029e+00
1.0450110e+00  1.01463e+00
1.0450261e+00  1.02205e+00
1.0450410e+00  1.03160e+00
1.0450559e+00  1.03225e+00
1.0450708e+00  1.00896e+00
1.0450857e+00  1.02161e+00
1.0451006e+00  1.03337e+00
1.0451155e+00  1.05916e+00
1.0451305e+00  1.03747e+00
1.0451454e+00  1.02194e+00
1.0451603e+00  1.02283e+00
1.0451752e+00  1.03106e+00
1.0451901e+00  1.02120e+00
1.0452050e+00  1.01907e+00
1.0452201e+00  1.03910e+00
1.0452350e+00  1.01945e+00
1.0452499e+00  1.03067e+00
1.0452648e+00  1.02306e+00
1.0452797e+00  9.94477e-01
1.0452946e+00  1.01363e+00
1.0453096e+00  1.00598e+00
1.0453245e+00  1.03589e+00
1.0453394e+00  1.02844e+00
1.0453543e+00  1.03054e+00
1.0453692e+00  1.02831e+00
1.0453841e+00  1.00595e+00
1.0453990e+00  9.99120e-01
1.0454141e+00  1.01220e+00
1.0454290e+00  1.02065e+00
1.0454439e+00  1.01275e+00
1.0454588e+00  9.89074e-01
1.0454737e+00  1.00331e+00
1.0454886e+00  1.01033e+00
1.0455036e+00  9.97570e-01
1.0455185e+00  9.89505e-01
1.0455334e+00  9.97609e-01
1.0455483e+00  1.00078e+00
1.0455632e+00  9.99551e-01
1.0455781e+00  9.75814e-01
1.0455931e+00  9.90401e-01
1.0456080e+00  9.81940e-01
1.0456229e+00  9.72515e-01
1.0456378e+00  9.68519e-01
1.0456527e+00  9.52554e-01
1.0456676e+00  9.65067e-01
1.0456825e+00  9.60530e-01
1.0456975e+00  9.68114e-01
1.0457124e+00  9.83918e-01
1.0457273e+00  9.79857e-01
1.0457422e+00  9.74308e-01
