#Normalization-constant  5.11493e+02
#lambda         flux
1.1035698e+00  9.62858e-01
1.1035856e+00  9.63470e-01
1.1036013e+00  9.76259e-01
1.1036171e+00  9.74487e-01
1.1036328e+00  9.76854e-01
1.1036486e+00  9.68763e-01
1.1036644e+00  9.73734e-01
1.1036801e+00  9.83825e-01
1.1036959e+00  9.98987e-01
1.1037116e+00  9.81267e-01
1.1037274e+00  9.69453e-01
1.1037432e+00  9.84822e-01
1.1037589e+00  9.70089e-01
1.1037747e+00  9.69523e-01
1.1037904e+00  9.81704e-01
1.1038062e+00  1.00740e+00
1.1038220e+00  9.46219e-01
1.1038377e+00  9.71023e-01
1.1038535e+00  9.78762e-01
1.1038692e+00  9.55168e-01
1.1038849e+00  9.37972e-01
1.1039008e+00  9.67942e-01
1.1039165e+00  9.35880e-01
1.1039323e+00  9.50257e-01
1.1039480e+00  9.41966e-01
1.1039637e+00  9.76850e-01
1.1039796e+00  9.42681e-01
1.1039953e+00  9.79472e-01
1.1040111e+00  9.79872e-01
1.1040268e+00  9.83939e-01
1.1040425e+00  9.87162e-01
1.1040584e+00  1.01090e+00
1.1040741e+00  9.69554e-01
1.1040899e+00  9.80741e-01
1.1041056e+00  1.01649e+00
1.1041213e+00  9.80899e-01
1.1041372e+00  1.00606e+00
1.1041529e+00  9.84353e-01
1.1041687e+00  9.86507e-01
1.1041844e+00  9.40733e-01
1.1042003e+00  9.61216e-01
1.1042160e+00  9.49762e-01
1.1042317e+00  9.47530e-01
1.1042475e+00  9.42459e-01
1.1042632e+00  9.97011e-01
1.1042791e+00  9.65135e-01
1.1042948e+00  9.72676e-01
1.1043105e+00  9.69015e-01
1.1043263e+00  9.87417e-01
1.1043420e+00  9.86301e-01
1.1043579e+00  9.93239e-01
1.1043736e+00  1.01028e+00
1.1043893e+00  9.68392e-01
1.1044051e+00  9.57730e-01
1.1044208e+00  9.70594e-01
1.1044366e+00  9.95472e-01
1.1044524e+00  9.77333e-01
1.1044681e+00  9.73027e-01
1.1044839e+00  1.00465e+00
1.1044996e+00  9.95310e-01
1.1045154e+00  1.02327e+00
1.1045312e+00  1.00606e+00
1.1045469e+00  1.00929e+00
1.1045627e+00  9.97075e-01
1.1045784e+00  9.98404e-01
1.1045942e+00  1.00106e+00
1.1046100e+00  9.80487e-01
1.1046257e+00  9.65261e-01
1.1046415e+00  9.90592e-01
1.1046572e+00  9.94926e-01
1.1046730e+00  9.56769e-01
1.1046888e+00  1.00049e+00
1.1047045e+00  9.92036e-01
1.1047202e+00  9.88664e-01
1.1047360e+00  9.75990e-01
1.1047518e+00  9.68130e-01
1.1047676e+00  9.93787e-01
1.1047833e+00  1.00181e+00
1.1047990e+00  9.91057e-01
1.1048148e+00  9.73749e-01
1.1048306e+00  9.86702e-01
1.1048464e+00  1.00151e+00
1.1048621e+00  9.77042e-01
1.1048778e+00  9.91427e-01
1.1048937e+00  9.90562e-01
1.1049094e+00  9.49447e-01
1.1049252e+00  9.76962e-01
1.1049409e+00  9.85992e-01
1.1049566e+00  9.94689e-01
1.1049725e+00  9.87495e-01
1.1049882e+00  1.01147e+00
1.1050040e+00  1.02813e+00
1.1050197e+00  1.01258e+00
1.1050354e+00  9.92731e-01
1.1050513e+00  1.00581e+00
1.1050670e+00  9.90010e-01
1.1050829e+00  1.00926e+00
1.1050986e+00  9.93979e-01
1.1051143e+00  1.01237e+00
1.1051302e+00  1.00547e+00
1.1051459e+00  1.01070e+00
1.1051617e+00  1.02544e+00
1.1051774e+00  1.00207e+00
1.1051931e+00  1.00030e+00
1.1052090e+00  9.92917e-01
1.1052247e+00  9.63633e-01
1.1052405e+00  9.75166e-01
1.1052562e+00  9.73789e-01
1.1052719e+00  9.88040e-01
1.1052878e+00  9.78391e-01
1.1053035e+00  9.98909e-01
1.1053193e+00  9.79823e-01
1.1053350e+00  9.70451e-01
1.1053507e+00  9.78327e-01
1.1053666e+00  9.89042e-01
1.1053823e+00  9.67806e-01
1.1053981e+00  9.63195e-01
1.1054138e+00  9.73551e-01
1.1054295e+00  9.89728e-01
1.1054454e+00  9.91671e-01
1.1054611e+00  9.85539e-01
1.1054769e+00  9.91087e-01
1.1054926e+00  1.01259e+00
1.1055083e+00  1.00860e+00
1.1055242e+00  9.83465e-01
1.1055399e+00  9.63623e-01
1.1055556e+00  9.29333e-01
1.1055714e+00  9.32424e-01
1.1055872e+00  9.50451e-01
1.1056030e+00  9.64348e-01
1.1056187e+00  9.68524e-01
1.1056344e+00  9.65136e-01
1.1056502e+00  9.58129e-01
1.1056660e+00  9.61286e-01
1.1056818e+00  9.76094e-01
1.1056975e+00  9.73497e-01
1.1057132e+00  9.65774e-01
1.1057290e+00  9.56364e-01
1.1057448e+00  9.55076e-01
1.1057606e+00  9.80752e-01
1.1057763e+00  9.88670e-01
1.1057920e+00  1.00000e+00
1.1058078e+00  9.92066e-01
1.1058236e+00  9.67470e-01
1.1058394e+00  9.59225e-01
1.1058551e+00  9.64654e-01
1.1058708e+00  9.77267e-01
1.1058866e+00  9.66173e-01
1.1059024e+00  9.78715e-01
1.1059182e+00  9.55832e-01
1.1059339e+00  9.71443e-01
1.1059496e+00  9.87481e-01
1.1059654e+00  9.92693e-01
1.1059812e+00  1.00231e+00
1.1059970e+00  9.77865e-01
1.1060127e+00  9.73213e-01
1.1060284e+00  9.49904e-01
1.1060442e+00  9.25393e-01
1.1060600e+00  9.69647e-01
1.1060758e+00  9.60327e-01
1.1060915e+00  9.61090e-01
1.1061072e+00  1.00477e+00
1.1061230e+00  9.79963e-01
1.1061388e+00  9.82255e-01
1.1061546e+00  9.93214e-01
1.1061703e+00  1.00535e+00
1.1061860e+00  1.00798e+00
1.1062018e+00  9.74666e-01
1.1062176e+00  9.55787e-01
1.1062334e+00  9.97655e-01
1.1062491e+00  9.72203e-01
1.1062648e+00  9.85523e-01
1.1062807e+00  9.77838e-01
1.1062964e+00  9.83416e-01
1.1063121e+00  9.78994e-01
1.1063279e+00  9.71082e-01
1.1063436e+00  9.75187e-01
1.1063595e+00  9.62435e-01
1.1063752e+00  9.88955e-01
1.1063909e+00  9.94314e-01
1.1064067e+00  1.00558e+00
1.1064224e+00  9.89900e-01
1.1064383e+00  9.48629e-01
1.1064540e+00  9.53082e-01
1.1064697e+00  9.65100e-01
1.1064855e+00  9.74294e-01
1.1065012e+00  9.68737e-01
1.1065171e+00  9.76691e-01
1.1065328e+00  9.67060e-01
1.1065485e+00  9.73545e-01
1.1065643e+00  9.83290e-01
1.1065800e+00  1.00462e+00
1.1065959e+00  1.00044e+00
1.1066116e+00  1.01403e+00
1.1066273e+00  9.99282e-01
1.1066431e+00  1.00754e+00
1.1066588e+00  9.90885e-01
1.1066747e+00  9.80125e-01
1.1066904e+00  9.89255e-01
1.1067061e+00  9.88036e-01
1.1067219e+00  9.84747e-01
1.1067376e+00  9.78777e-01
1.1067535e+00  9.98165e-01
1.1067692e+00  1.00188e+00
1.1067849e+00  1.01043e+00
1.1068007e+00  9.93903e-01
1.1068164e+00  9.86711e-01
1.1068323e+00  9.92746e-01
1.1068480e+00  9.99522e-01
1.1068637e+00  1.00859e+00
1.1068795e+00  9.93048e-01
1.1068952e+00  9.54061e-01
1.1069111e+00  9.70683e-01
1.1069268e+00  9.73455e-01
1.1069425e+00  9.54228e-01
1.1069583e+00  9.46462e-01
1.1069741e+00  9.46204e-01
1.1069899e+00  9.51257e-01
1.1070056e+00  9.61128e-01
1.1070213e+00  9.52857e-01
1.1070371e+00  9.93809e-01
1.1070529e+00  9.80501e-01
1.1070687e+00  9.60365e-01
1.1070844e+00  9.60901e-01
1.1071001e+00  9.99705e-01
1.1071159e+00  1.00420e+00
1.1071317e+00  9.84769e-01
1.1071475e+00  9.97323e-01
1.1071633e+00  9.55068e-01
1.1071790e+00  9.78638e-01
1.1071948e+00  9.77412e-01
1.1072106e+00  9.46324e-01
1.1072263e+00  9.82578e-01
1.1072421e+00  9.61271e-01
1.1072578e+00  9.59948e-01
1.1072736e+00  9.47681e-01
1.1072894e+00  9.67066e-01
1.1073051e+00  9.60039e-01
1.1073209e+00  9.37710e-01
1.1073366e+00  9.63352e-01
1.1073524e+00  9.81653e-01
1.1073682e+00  1.01848e+00
1.1073839e+00  1.00862e+00
1.1073997e+00  9.84722e-01
1.1074154e+00  9.79530e-01
1.1074311e+00  9.70852e-01
1.1074470e+00  1.00817e+00
1.1074627e+00  9.90098e-01
1.1074785e+00  9.82904e-01
1.1074942e+00  9.99595e-01
